url	access	role	name	nodes
chrome://apps	ok	RootWebArea	Apps	11
chrome://app-service-internals	ok	RootWebArea	App Service Internals	7
chrome://autofill-ml-internals	ok	RootWebArea	Internal debugging pages are currently disabled.	9
chrome://batch-upload	ok	RootWebArea		75
chrome://bluetooth-internals	ok	RootWebArea	Bluetooth Internals	20
chrome://browser-actuator-internals	landed chrome-error://chromewebdata/	RootWebArea	chrome://browser-actuator-internals/	5
chrome://cloud-upload	landed chrome-error://chromewebdata/	RootWebArea	chrome://cloud-upload/	5
chrome://contextual-cueing-internals	ok	RootWebArea	Internal debugging pages are currently disabled.	9
chrome://discards	ok	RootWebArea	Internal debugging pages are currently disabled.	9
chrome://discards/graph	ok	RootWebArea	Internal debugging pages are currently disabled.	9
chrome://dlp-internals	landed chrome-error://chromewebdata/	RootWebArea	chrome://dlp-internals/	5
chrome://downloads	ok	RootWebArea	Download history	46
chrome://drive-picker-host	landed chrome-error://chromewebdata/	RootWebArea	chrome://drive-picker-host/	5
chrome://enterprise-reporting	landed chrome-error://chromewebdata/	RootWebArea	chrome://enterprise-reporting/	5
chrome://extensions	ok	RootWebArea	Extensions	65
chrome://favicon2	ok	RootWebArea	favicon2 (16×16)	5
chrome://flag	landed chrome-error://chromewebdata/	RootWebArea	chrome://flag/	5
chrome://flags#arc-extend-input-anr-timeout	ok	RootWebArea	Experiments	65
chrome://flags#arc-extend-intent-anr-timeout	ok	RootWebArea	Experiments	65
chrome://flags#arc-extend-service-anr-timeout	ok	RootWebArea	Experiments	65
chrome://flags#arc-friendlier-error-dialog	ok	RootWebArea	Experiments	65
chrome://flags#arc-ignore-hover-event-anr	ok	RootWebArea	Experiments	65
chrome://flags#arc-resize-compat	ok	RootWebArea	Experiments	65
chrome://flags#arc-rounded-window-compat	ok	RootWebArea	Experiments	65
chrome://flags#arc-touchscreen-emulation	ok	RootWebArea	Experiments	65
chrome://flags#arc-trackpad-scroll-touchscreen-emulation	ok	RootWebArea	Experiments	65
chrome://flags#arc-xdg-mode	ok	RootWebArea	Experiments	65
chrome://flags#enable-pip-double-tap-to-resize	ok	RootWebArea	Experiments	65
chrome://flags#jelly-colors	ok	RootWebArea	Experiments	65
chrome://flags#qs-revamp	ok	RootWebArea	Experiments	65
chrome://flags#render-arc-notifications-by-chrome	ok	RootWebArea	Experiments	65
chrome://flags#rounded-windows	ok	RootWebArea	Experiments	65
chrome://glic	ok	RootWebArea	Gemini in Chrome	4
chrome://glic/internals	ok	RootWebArea	Glic - Internals	204
chrome://gpu	ok	RootWebArea	GPU Internals	261
chrome://growth-internals/	landed chrome-error://chromewebdata/	RootWebArea	chrome://growth-internals/	5
chrome://help-app	landed chrome-error://chromewebdata/	RootWebArea	chrome://help-app/	5
chrome://help-app/help/sub/3399763/id/1282338#install-user	landed chrome-error://chromewebdata/	RootWebArea	chrome://help-app/help/sub/3399763/id/1282338#install-user	5
chrome://histograms	ok	RootWebArea	Histograms	13640
chrome://history	ok	RootWebArea	History	9
chrome://history/journeys	ok	RootWebArea	History	9
chrome://history-sync-optin	ax-failed			0
chrome://indexeddb-internals	crashed			0
chrome://indigo-internals	ok	RootWebArea	Internal debugging pages are currently disabled.	9
chrome://launcher-internals	landed chrome-error://chromewebdata/	RootWebArea	chrome://launcher-internals/	5
