frame	api	value
page	chrome	loadTimes,csi,app
page	href	about:blank
page	chrome.loadTimes	{"requestTime":1790333859.436,"startLoadTime":1790333859.436,"commitLoadTime":0,"finishDocumentLoadTime":1790333859.55,"finishLoadTime":1790333859.551,"firstPaintTime":0,"firstPaintAfterLoadTime":0,"navigationType":"Other","wasFetchedViaSpdy":false,"wasNpnNegotiated":false,"npnNegotiatedProtocol":"","wasAlternateProtocolAvailable":false,"connectionInfo":"unknown"}
page	chrome.csi	{"startE":1790333859436,"onloadT":1790333859550,"pageT":627.615,"tran":15}
page	chrome.app	isInstalled,getDetails,getIsInstalled,installState,runningState,InstallState,RunningState
extension	chrome	loadTimes,csi,app,dom,enterprise,extension,feedbackPrivate,i18n,management,permissions,processes,runtime,system,tabs,webrtcLoggingPrivate,windows
extension	href	chrome-extension://nkeimhogjdpnpccoofpliimaahmaaome/background.html
extension	chrome.runtime.id	nkeimhogjdpnpccoofpliimaahmaaome
extension	chrome.runtime.getManifest	{"background":{"page":"background.html","persistent":false},"externally_connectable":{"ids":["moklfjoegmpoolceggbebbmgbddlhdgp","ldmpofkllgeicjiihkimgeccbhghhmfj","denipklgekfpcdmbahmbpnmokgajnhma","kjfhgcncjdebkoofmbjoiemiboifnpbo","ikfcpmgefdpheiiomgmhlmmkihchmdlj","jlgegmdnodfhciolbdjciihnlaljdbjo","lkbhffjfgpmpeppncnimiiikojibkhnm","acdafoiapclbpdkhnighhilgampkglpc","hkamnlhnogggfddmjomgbdokdkgfelgg"],"matches":["https://*.meet.google.com/*"]},"incognito":"split","key":"MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDAQt2ZDdPfoSe/JI6ID5bgLHRCnCu9T36aYczmhw/tnv6QZB2I6WnOCMZXJZlRdqWc7w9jo4BWhYS50Vb4weMfh/I0On7VcRwJUgfAxW2cHB+EkmtI1v4v/OU24OqIa1Nmv9uRVeX0GjhQukdLNhAE6ACWooaf5kqKlCeK+1GOkQIDAQAB","manifest_version":2,"name":"Google Hangouts","permissions":["enterprise.hardwarePlatform","processes","system.cpu","webrtcLoggingPrivate"],"version":"1.3.26"}
extension	chrome.runtime.getURL	chrome-extension://nkeimhogjdpnpccoofpliimaahmaaome/
extension	chrome.extension.inIncognitoContext	false
extension	chrome.extension.getViews	2
extension	chrome.i18n.getUILanguage	en-US
extension	chrome.app.getDetails	{"background":{"page":"background.html","persistent":false},"externally_connectable":{"ids":["moklfjoegmpoolceggbebbmgbddlhdgp","ldmpofkllgeicjiihkimgeccbhghhmfj","denipklgekfpcdmbahmbpnmokgajnhma","kjfhgcncjdebkoofmbjoiemiboifnpbo","ikfcpmgefdpheiiomgmhlmmkihchmdlj","jlgegmdnodfhciolbdjciihnlaljdbjo","lkbhffjfgpmpeppncnimiiikojibkhnm","acdafoiapclbpdkhnighhilgampkglpc","hkamnlhnogggfddmjomgbdokdkgfelgg"],"matches":["https://*.meet.google.com/*"]},"id":"nkeimhogjdpnpccoofpliimaahmaaome","incognito":"split","key":"MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDAQt2ZDdPfoSe/JI6ID5bgLHRCnCu9T36aYczmhw/tnv6QZB2I6WnOCMZXJZlRdqWc7w9jo4BWhYS50Vb4weMfh/I0On7VcRwJUgfAxW2cHB+EkmtI1v4v/OU24OqIa1Nmv9uRVeX0GjhQukdLNhAE6ACWooaf5kqKlCeK+1GOkQIDAQAB","manifest_version":2,"name":"Google Hangouts","permissions":["enterprise.hardwarePlatform","processes","system.cpu","webrtcLoggingPrivate"],"version":"1.3.26"}
extension	chrome.dom	openOrClosedShadowRoot
extension	chrome.enterprise	hardwarePlatform
extension	chrome.processes	onExited,onUnresponsive,onCreated,onUpdatedWithMemory,onUpdated,getProcessIdForTab,getProcessInfo,terminate,ProcessType
extension	chrome.system	cpu
extension	chrome.feedbackPrivate	openFeedback,FeedbackFlow,FeedbackSource,LandingPageType,LogSource,Status
extension	chrome.webrtcLoggingPrivate	discard,setMetaData,setUploadOnRenderClose,start,startAudioDebugRecordings,startEventLogging,startRtpDump,stop,stopAudioDebugRecordings,stopRtpDump,store,upload
extension	chrome.runtime.getPlatformInfo	{"arch":"x86-64","nacl_arch":"x86-64","os":"win"}
extension	chrome.management.getSelf	{"description":"","enabled":true,"homepageUrl":"","hostPermissions":[],"id":"nkeimhogjdpnpccoofpliimaahmaaome","installType":"other","isApp":false,"mayDisable":false,"name":"Google Hangouts","offlineEnabled":false,"optionsUrl":"","permissions":["enterprise.hardwarePlatform","processes","system.cpu","webrtcLoggingPrivate"],"shortName":"Google Hangouts","type":"extension","version":"1.3.26","versionName":""}
extension	chrome.permissions.getAll	{"origins":[],"permissions":["processes","webrtcLoggingPrivate","system.cpu","enterprise.hardwarePlatform"]}
extension	chrome.tabs.query	[{"active":true,"audible":false,"autoDiscardable":true,"discarded":false,"favIconUrl":"","frozen":false,"groupId":-1,"height":507,"highlighted":true,"id":229581786,"incognito":false,"index":0,"lastAccessed":1790333859456.529,"mutedInfo":{"muted":false},"pinned":false,"selected":true,"splitViewId":-1,"status":"complete","title":"chrome-extension://nkeimhogjdpnpccoofpliimaahmaaome/background.html","url":"chrome-extension://nkeimhogjdpnpccoofpliimaahmaaome/background.html","width":787,"windowId":229581785}]
extension	chrome.windows.getAll	[{"alwaysOnTop":false,"focused":true,"height":602,"id":229581785,"incognito":false,"left":10,"state":"normal","top":10,"type":"normal","width":802}]
