frame	api	value
page	href	about:blank
page	loadTimes	function
page	app	object
page	runtime.sendMessage	undefined
page	runtime.id	absent
page	Mojo	undefined
page	Mojo.bindInterface	false
page	AddSink	undefined
isolated	href	about:blank
isolated	loadTimes	function
isolated	app	undefined
isolated	runtime.sendMessage	undefined
isolated	runtime.id	absent
isolated	Mojo	undefined
isolated	Mojo.bindInterface	false
isolated	AddSink	undefined
extension	href	chrome-extension://nkeimhogjdpnpccoofpliimaahmaaome/background.html
extension	loadTimes	function
extension	app	object
extension	runtime.sendMessage	function
extension	runtime.id	nkeimhogjdpnpccoofpliimaahmaaome
extension	Mojo	undefined
extension	Mojo.bindInterface	false
extension	AddSink	undefined
internals	href	chrome-extension://nkeimhogjdpnpccoofpliimaahmaaome/background.html
internals	loadTimes	function
internals	app	object
internals	runtime.sendMessage	function
internals	runtime.id	nkeimhogjdpnpccoofpliimaahmaaome
internals	Mojo	undefined
internals	Mojo.bindInterface	false
internals	AddSink	undefined
