IPC.mojom.Channel.GetAssociatedInterface	ran 1 IPC.mojom.Channel.GetAssociatedInterface address=425080747 chpt=1 tpt=1 ept=1
IPC.mojom.Channel.SetPeerPid	ran 2 IPC.mojom.Channel.SetPeerPid address=1838581214 chpt=1 tpt=2 ept=1
access_code_cast.mojom.PageHandler.AddSink	ran 3 access_code_cast.mojom.PageHandler.AddSink address=965291822 chpt=1 tpt=3 ept=1
access_code_cast.mojom.PageHandler.CastToSink	ran 4 access_code_cast.mojom.PageHandler.CastToSink address=1784183815 chpt=1 tpt=4 ept=1
access_code_cast.mojom.PageHandlerFactory.CreatePageHandler	ran 5 access_code_cast.mojom.PageHandlerFactory.CreatePageHandler address=1341422885 chpt=1 tpt=5 ept=1
action_chips.mojom.ActionChipsHandler.ActivateMetricsFunnel	ran 6 action_chips.mojom.ActionChipsHandler.ActivateMetricsFunnel address=230444536 chpt=1 tpt=6 ept=1
action_chips.mojom.ActionChipsHandler.NavigateToAim	ran 7 action_chips.mojom.ActionChipsHandler.NavigateToAim address=930169661 chpt=1 tpt=7 ept=1
action_chips.mojom.ActionChipsHandler.SetActionChipsVisibility	ran 8 action_chips.mojom.ActionChipsHandler.SetActionChipsVisibility address=809245180 chpt=1 tpt=8 ept=1
action_chips.mojom.ActionChipsHandler.StartActionChipsRetrieval	ran 9 action_chips.mojom.ActionChipsHandler.StartActionChipsRetrieval address=1517409582 chpt=1 tpt=9 ept=1
action_chips.mojom.ActionChipsHandlerFactory.CreateActionChipsHandler	ran 10 action_chips.mojom.ActionChipsHandlerFactory.CreateActionChipsHandler address=1862245614 chpt=1 tpt=10 ept=1
action_chips.mojom.Page.OnActionChipsChanged	ran 11 action_chips.mojom.Page.OnActionChipsChanged address=1991675017 chpt=1 tpt=11 ept=1
actor.mojom.JournalClient.AddEntriesToJournal	ran 12 actor.mojom.JournalClient.AddEntriesToJournal address=315379712 chpt=1 tpt=12 ept=1
actor.ui.mojom.ActorOverlayPage.MoveCursorTo	ran 13 actor.ui.mojom.ActorOverlayPage.MoveCursorTo address=1340734391 chpt=1 tpt=13 ept=1
actor.ui.mojom.ActorOverlayPage.SetBorderGlowVisibility	ran 14 actor.ui.mojom.ActorOverlayPage.SetBorderGlowVisibility address=1523876258 chpt=1 tpt=14 ept=1
actor.ui.mojom.ActorOverlayPage.SetScrimBackground	ran 15 actor.ui.mojom.ActorOverlayPage.SetScrimBackground address=1979634303 chpt=1 tpt=15 ept=1
actor.ui.mojom.ActorOverlayPage.SetTheme	ran 16 actor.ui.mojom.ActorOverlayPage.SetTheme address=2075076077 chpt=1 tpt=16 ept=1
